ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.4054,5.6672,7.7503,-2.307,5.2543,7.9524,0.5328,0.6907,0.5593,-0.7596,-0.7988,0.2003,0.0,-8.16,-23.46,-41.58,89.96,-33.32,24.22,3.1,1002.75,37.559,45.29216,14.277082,209.69,NaN,,0.0,12.903226,,19 / 19,40,2021-12-05 19:36:43:867
-0.3759,4.621,9.1916,-1.0613,4.1524,8.8205,0.3981,0.2028,0.6704,-0.3631,0.0925,0.0623,0.0,-18.9,-14.34,-41.88,80.46,-25.05,6.86,3.1,1002.79,40.008,45.29216,14.277082,209.69,NaN,,0.0,12.903226,,20 / 20,540,2021-12-05 19:36:44:367
-0.7398,4.3504,8.9139,-0.8176,3.8459,8.9839,0.1256,0.1908,0.3059,-0.2599,0.043,0.0543,0.0,-20.64,-11.4,-40.86,78.19,-23.09,5.2,3.1,1002.78,39.103,45.29216,14.277082,209.69,NaN,,0.0,12.903226,,20 / 20,1040,2021-12-05 19:36:44:867
-0.2346,4.1852,7.5156,-1.1718,3.716,8.9994,0.0848,0.1939,-0.392,0.7652,-0.1696,-0.019,0.0,-17.76,-9.54,-43.5,75.57,-22.27,7.42,3.1,1002.76,53.882,45.292168,14.277087,205.97,NaN,,0.0,12.903226,,19 / 19,1540,2021-12-05 19:36:45:367
-1.743,4.5563,8.2124,-1.6142,4.0274,8.7946,-0.1288,0.5289,-0.5822,-0.3735,0.0296,0.1869,0.0,-15.3,-10.68,-43.68,76.31,-22.81,10.59,3.1,1002.73,66.95,45.292168,14.277087,205.97,NaN,,0.0,12.903226,,19 / 19,2040,2021-12-05 19:36:45:867
-1.5108,3.7135,5.5212,-1.2768,4.7025,8.5104,1.7557,-0.8788,3.5998,0.0236,-0.2172,-0.3085,0.0,-14.22,-8.58,-43.56,60.11,-24.3,5.59,3.1,1002.73,49.007,45.29217,14.277087,205.61,NaN,,0.0,12.903226,,19 / 19,2540,2021-12-05 19:36:46:367
-0.5698,4.7263,9.4071,0.0072,3.7156,9.0755,-0.577,1.0107,0.3316,0.4359,-0.45,0.0952,0.0,-24.18,-5.64,-40.14,73.01,-19.33,0.69,3.1,1002.61,38.289,45.29217,14.277087,205.61,NaN,,0.0,12.903226,,19 / 19,3041,2021-12-05 19:36:46:868
-2.6217,4.3217,4.5372,-2.1407,5.8926,7.5409,-1.4435,1.3405,-3.2264,2.3693,0.7797,0.4941,0.0,-22.38,-5.64,-40.74,71.49,-18.98,0.82,3.1,1002.7,33.462,45.292183,14.277091,203.85,NaN,,2.83,12.903226,44.83,19 / 19,3540,2021-12-05 19:36:47:367
-2.2961,3.838,7.8532,-3.4765,4.9411,7.7246,0.656,-1.479,-1.4181,-0.6013,-0.8177,0.777,0.0,1.74,-13.26,-44.22,69.41,-32.82,35.78,3.1,1002.93,41.233,45.292183,14.277091,203.85,NaN,,2.83,12.903226,44.83,19 / 19,4040,2021-12-05 19:36:47:867
-0.9505,3.8907,8.3967,-0.2142,4.3102,8.806,0.3075,-0.4435,-0.7206,-0.9734,-0.2563,-0.0782,0.0,-18.42,-9.72,-41.82,66.14,-26.53,3.93,3.1,1002.81,49.105,45.292194,14.277106,201.25,NaN,,3.95,12.903226,45.03,18 / 18,4541,2021-12-05 19:36:48:368
0.1413,3.3089,6.4191,-0.5661,3.8412,9.0053,0.7074,-0.5323,-2.5862,0.3651,-0.001,0.2712,0.0,-15.78,-4.62,-43.08,57.67,-23.06,3.6,3.1,1002.82,37.507,45.292194,14.277106,201.25,NaN,,3.95,12.903226,45.03,18 / 18,5040,2021-12-05 19:36:48:867
